,credit,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
34,1,F,N,Y,0,630000.0,Working,Higher education,Separated,House / apartment,-22001,-1539,1,1,0,Accountants,1,-58
35,1,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20608,1,0,0,0,No,2,-11
36,0,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-18234,-2965,1,1,0,Core staff,2,-14
37,1,F,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-13048,-440,0,0,1,Private service staff,3,-30
38,1,M,Y,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10004,-1962,0,1,0,Unknown,2,-7
39,1,M,Y,Y,2,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13059,-4813,0,0,0,Laborers,4,-60
40,1,F,N,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-19638,-412,0,1,0,Unknown,2,-34
41,1,F,N,N,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10139,-136,0,0,0,Core staff,1,-8
42,1,F,Y,Y,0,391500.0,Working,Secondary / secondary special,Married,House / apartment,-16995,-7264,0,0,0,Core staff,2,-47
43,1,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,0,0,0,Core staff,2,-6
44,1,M,Y,N,2,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16479,-4082,0,0,0,Laborers,4,-55
45,1,M,Y,Y,0,418500.0,Working,Higher education,Married,House / apartment,-19038,-73,0,1,0,Unknown,2,-36
46,1,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,0,0,1,Core staff,2,-43
47,1,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21041,1,0,0,0,No,1,-42
48,0,F,N,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11863,-96,1,0,0,Unknown,4,-46
49,0,F,N,Y,0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940,1,0,0,0,No,2,-25
50,1,F,N,Y,0,63000.0,Working,Secondary / secondary special,Married,House / apartment,-19896,-1574,1,0,0,High skill tech staff,2,-4
51,1,F,Y,Y,0,144000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12116,-2714,1,1,0,Drivers,2,-1
52,1,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23280,1,0,0,0,No,1,-15
53,1,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23007,-11589,1,1,0,Cleaning staff,1,-3
54,0,F,N,Y,1,247500.0,Commercial associate,Higher education,Married,House / apartment,-13556,-4296,0,1,0,Managers,3,-52
55,1,F,N,Y,0,193500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17909,-121,0,0,0,Laborers,2,-9
56,1,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22491,1,0,0,0,No,2,-21
57,0,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14948,-8100,0,0,0,Laborers,2,-56
58,1,F,Y,Y,0,178650.0,Pensioner,Higher education,Widow,House / apartment,-17291,1,0,1,0,No,1,-50
59,1,F,Y,N,0,81000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14157,-2349,0,0,0,Laborers,2,-14
60,1,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424,-1458,0,0,0,Drivers,3,-45
61,1,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18656,-2656,0,0,0,Laborers,2,-40
62,1,M,Y,Y,0,180000.0,Working,Higher education,Married,With parents,-11089,-1467,0,0,0,Laborers,2,-33
63,1,F,N,N,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18828,-6195,0,0,0,Unknown,2,-54
64,1,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17398,-458,0,0,0,Drivers,3,-27
65,1,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14136,-2628,1,0,0,Managers,4,-3
66,1,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23594,1,0,0,0,No,1,-25
67,0,M,N,N,1,225000.0,Commercial associate,Higher education,Married,Municipal apartment,-18976,-688,0,0,0,Cooking staff,3,-42
68,1,F,N,Y,0,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24285,1,0,0,0,No,2,-18
69,1,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-23844,-2147,0,1,0,Accountants,2,-19
70,1,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-17366,-2426,0,0,0,Managers,2,-41
71,1,F,N,Y,0,49500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-23825,1,0,0,0,No,1,-7
72,1,M,Y,N,2,450000.0,Working,Secondary / secondary special,Married,House / apartment,-14970,-7183,0,0,1,Drivers,4,-2
73,1,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-11591,-2501,0,0,0,Unknown,2,-1
74,1,M,N,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22800,-102,0,0,0,Drivers,2,-49
75,1,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,-21537,-13735,0,0,0,Core staff,1,-40
76,1,F,Y,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23768,1,0,0,0,No,2,-19
77,1,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-16491,1,0,0,0,No,2,-24
78,1,M,N,Y,0,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-17965,-218,0,0,0,Laborers,1,-17
79,0,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13300,-3668,0,1,0,Unknown,5,-54
80,1,F,Y,Y,0,405000.0,Commercial associate,Incomplete higher,Married,House / apartment,-18517,-3944,0,1,0,Unknown,2,0
81,1,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-11032,-314,1,0,0,Accountants,3,-4
82,1,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9980,-128,0,1,0,Sales staff,3,-34
83,1,F,Y,N,0,562500.0,Working,Higher education,Married,House / apartment,-14654,-2836,1,0,0,Managers,2,-22
84,1,F,N,N,0,202500.0,Pensioner,Higher education,Single / not married,House / apartment,-23290,1,0,0,0,No,1,-3
85,1,M,N,Y,0,225000.0,Working,Lower secondary,Married,Municipal apartment,-10565,-811,1,1,0,Unknown,2,-26
86,1,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11660,-807,0,0,0,Core staff,3,-8
87,1,M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,-13387,-2467,0,0,0,Unknown,3,-37
88,1,M,N,Y,0,144000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16979,-1830,0,0,0,Security staff,2,-18
89,0,F,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13079,-2499,1,0,0,Managers,2,-6
90,1,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21529,1,0,1,0,No,2,-11
91,1,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-13797,-3259,0,1,0,High skill tech staff,4,-43
92,1,F,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15922,-414,0,0,0,Sales staff,3,-13
93,1,F,Y,Y,0,742500.0,Pensioner,Higher education,Separated,House / apartment,-21792,1,0,0,0,No,1,-26
94,1,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14534,-1054,0,1,0,High skill tech staff,1,-44
95,1,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-10952,-3577,1,0,0,Laborers,2,-56
96,1,M,Y,Y,0,292500.0,Commercial associate,Secondary / secondary special,Married,With parents,-9980,-351,0,0,0,Drivers,2,-42
97,1,F,N,N,0,364500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17204,-1028,0,0,0,Sales staff,2,-41
98,1,F,N,Y,2,121500.0,Working,Secondary / secondary special,Married,House / apartment,-14495,-1436,0,0,0,Sales staff,4,-39
99,1,M,Y,Y,0,184500.0,State servant,Higher education,Married,House / apartment,-13916,-169,0,0,0,Managers,2,-60
100,1,F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,-14636,-4690,1,1,0,Laborers,2,-55
101,1,F,N,Y,2,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-18459,-4145,0,1,0,Medicine staff,4,-32
102,0,F,N,Y,0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-19392,-121,0,1,0,Unknown,1,-17
103,1,F,N,Y,0,135000.0,Pensioner,Incomplete higher,Separated,House / apartment,-20388,1,0,0,0,No,1,-2
104,1,F,N,N,1,45000.0,Working,Secondary / secondary special,Married,House / apartment,-12311,-3969,0,0,0,Unknown,3,-26
105,1,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10692,-946,1,1,1,Cooking staff,2,-6
106,1,F,N,N,0,76500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14393,-3239,0,0,0,Unknown,2,-17
107,1,F,Y,Y,1,202500.0,Commercial associate,Higher education,Married,House / apartment,-15598,-1659,0,0,0,Accountants,3,-18
108,1,F,N,Y,2,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15140,-3174,1,0,1,Sales staff,4,-39
109,1,F,N,Y,0,202500.0,State servant,Higher education,Widow,House / apartment,-15784,-4919,0,0,0,Unknown,1,-52
110,1,F,N,N,1,180000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-15517,-2023,0,0,0,Medicine staff,2,-35
111,1,M,N,Y,1,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12152,-1230,0,0,0,Laborers,2,-25
112,1,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14907,-2540,0,0,0,Sales staff,2,-8
113,1,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22788,1,0,0,0,No,2,-14
114,0,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18394,-5155,0,0,0,Laborers,3,0
115,1,F,Y,N,2,81000.0,Working,Higher education,Married,House / apartment,-12358,-3017,1,0,0,Sales staff,4,-10
116,1,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11736,-219,0,0,0,Accountants,2,-7
117,1,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23057,-4540,0,0,0,Medicine staff,2,-49
118,1,F,N,N,1,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-13719,-17,0,0,0,Sales staff,2,-11
119,1,F,N,Y,1,202500.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-13539,-1653,1,1,0,Core staff,3,-3
120,1,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22333,1,0,0,0,No,2,-1
121,1,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17795,-2450,0,0,1,Managers,2,-58
122,1,M,Y,N,0,247500.0,Working,Incomplete higher,Single / not married,House / apartment,-8560,-316,1,0,0,Managers,1,-3
123,1,M,Y,N,0,252000.0,Working,Higher education,Married,House / apartment,-15227,-5300,1,1,0,Laborers,2,-50
124,1,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-12047,-3443,0,0,0,Managers,3,-28
125,1,F,Y,N,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22223,1,0,1,0,No,2,-14
126,1,M,Y,N,1,180000.0,Working,Higher education,Married,House / apartment,-8877,-1737,1,1,0,Drivers,3,-19
127,1,F,N,Y,1,108000.0,State servant,Secondary / secondary special,Married,House / apartment,-14028,-3277,0,0,0,Core staff,3,-17
128,1,F,N,N,0,90000.0,Working,Higher education,Separated,House / apartment,-21887,-1526,0,0,0,Core staff,1,-14
129,1,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-15541,-1477,0,0,0,Medicine staff,2,-59
130,1,F,N,Y,0,180000.0,Pensioner,Higher education,Widow,House / apartment,-22419,1,0,0,0,No,1,-47
131,1,F,N,N,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10151,-1138,0,0,0,Laborers,3,-21
132,1,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19033,-3535,0,0,0,Sales staff,2,-32
133,1,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18820,-3185,0,1,0,Low-skill Laborers,2,-7
134,1,M,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,With parents,-11344,-3309,0,0,0,Core staff,1,-51
135,1,F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16616,-2722,1,1,0,Realty agents,3,-10
136,1,M,N,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-19129,-806,0,0,1,Unknown,3,-1
137,1,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-22909,-2581,0,1,0,Drivers,2,-12
138,1,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-17791,-5072,0,0,0,Unknown,2,-15
139,1,M,Y,N,4,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15328,-2578,0,0,0,Security staff,6,-30
140,1,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,-13689,-1172,0,0,0,Sales staff,3,-46
141,1,F,Y,N,0,225000.0,Commercial associate,Higher education,Married,With parents,-11828,-165,0,0,0,Accountants,2,-10
142,1,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,0,0,0,Laborers,4,-28
143,1,F,N,N,0,157500.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-11243,-2652,0,0,0,Sales staff,2,-13
144,0,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18625,-3153,0,1,0,Laborers,2,-3
145,0,F,N,N,0,67500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9323,-1346,0,0,0,Unknown,2,-42
146,1,M,Y,Y,1,315000.0,Working,Higher education,Married,House / apartment,-10580,-2566,0,0,0,Core staff,3,-17
147,0,F,N,N,1,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-10928,-1558,0,0,0,Sales staff,3,-18
148,1,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19008,-3607,0,0,0,Managers,2,-2
149,0,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228,-5330,0,1,0,Unknown,2,-37
150,1,F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,-12348,-1220,0,0,0,Managers,4,-8
151,1,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23520,1,0,0,0,No,2,-54
152,1,M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,0,Managers,4,-38
153,1,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10089,-2757,1,0,0,Laborers,3,-33
154,1,M,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15167,-2162,0,0,0,Drivers,3,-50
155,1,F,N,Y,1,67500.0,Working,Secondary / secondary special,Separated,House / apartment,-11126,-2087,1,1,0,Accountants,2,-9
156,1,F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-19694,1,0,0,0,No,2,-41
157,0,M,Y,Y,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-21572,-2170,0,0,0,Secretaries,2,-8
158,1,M,Y,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-13718,-3694,1,1,0,High skill tech staff,2,-18
159,1,F,N,N,0,157500.0,State servant,Higher education,Married,House / apartment,-11588,-801,1,1,0,Core staff,2,-23
160,1,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-16013,-1517,0,1,0,Cooking staff,2,-27
161,1,F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14511,-193,0,0,0,Unknown,2,-20
162,1,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,-15584,-1611,0,0,0,Sales staff,1,-2
163,1,M,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13602,-1382,1,1,0,Drivers,1,-21
164,1,F,Y,Y,0,360000.0,Commercial associate,Higher education,Married,House / apartment,-10874,-507,0,0,1,Core staff,2,-11
165,1,F,N,Y,2,135000.0,Working,Incomplete higher,Married,House / apartment,-10598,-2175,0,0,1,Sales staff,4,-27
166,1,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-12322,-3717,0,0,0,Core staff,2,-2
167,1,F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19010,-6761,1,1,0,Cleaning staff,2,-5
168,0,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-17087,-7310,1,1,0,Medicine staff,2,-4
169,1,F,Y,Y,0,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10302,-734,0,0,0,Core staff,2,-48
170,1,F,N,N,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,-21967,-5215,0,0,1,Core staff,2,-13
171,1,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,0,0,0,Medicine staff,2,-28
172,1,F,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20302,-10259,0,0,0,Medicine staff,1,-24
173,1,F,Y,Y,1,247500.0,Working,Incomplete higher,Married,House / apartment,-14046,-353,0,0,0,Sales staff,3,-19
174,0,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21871,1,0,1,0,No,2,-3
175,1,F,N,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-9313,-615,0,0,0,Unknown,2,-53
176,1,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-19087,-6128,0,0,0,Laborers,2,-2
177,1,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394,-919,0,1,0,Managers,1,-8
178,1,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,With parents,-11499,-4006,0,1,1,Core staff,3,-10
179,1,F,N,Y,0,81000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9866,-2583,0,0,0,Medicine staff,1,-42
180,1,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,0,0,0,Laborers,3,-4
181,1,F,N,Y,0,81000.0,Working,Secondary / secondary special,Widow,House / apartment,-22064,-168,0,0,0,Cleaning staff,1,-43
182,1,M,Y,N,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-20116,-248,1,0,0,Laborers,2,-45
183,0,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19002,1,0,0,0,No,2,-11
184,1,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-15720,-2569,0,1,0,Managers,3,-11
185,1,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,-14321,-7068,0,0,0,Medicine staff,4,-20
186,1,M,N,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9380,-1713,1,1,0,Unknown,1,-16
187,1,M,Y,N,2,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14670,-6957,0,1,0,Unknown,4,-15
188,1,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10731,-885,0,0,0,Sales staff,1,-11
189,1,F,Y,Y,2,225000.0,Commercial associate,Higher education,Married,House / apartment,-14100,-3623,0,0,0,Private service staff,4,-20
190,1,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15649,-8412,1,1,0,Medicine staff,2,-18
191,1,F,Y,Y,2,292500.0,Commercial associate,Higher education,Married,House / apartment,-13958,-3021,0,0,0,Sales staff,4,-40
192,1,F,N,N,1,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-11304,-3998,1,1,0,Medicine staff,3,-55
193,1,M,Y,Y,0,78750.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8251,-181,1,0,0,Sales staff,1,-13
194,1,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-20470,-9269,0,0,0,Core staff,1,-6
195,1,F,N,N,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-14802,-1846,0,0,0,Drivers,3,-16
196,1,F,N,N,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23480,1,0,0,0,No,2,-4
197,1,M,Y,Y,0,382500.0,Working,Higher education,Married,House / apartment,-11864,-1748,0,1,0,IT staff,2,-49
198,1,F,Y,N,1,225000.0,Commercial associate,Higher education,Civil marriage,With parents,-9932,-668,0,1,1,Accountants,3,-6
199,1,F,N,Y,0,247500.0,Commercial associate,Higher education,Married,House / apartment,-11914,-2980,0,0,0,Sales staff,2,-40
200,0,M,Y,Y,2,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18376,-4270,1,1,1,Unknown,4,-27
201,1,F,N,Y,0,90000.0,Working,Secondary / secondary special,Widow,House / apartment,-17710,-1772,0,0,0,Cooking staff,1,-24
202,1,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13483,-1816,1,1,0,Laborers,2,-39
203,0,F,N,N,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20726,1,0,1,0,No,2,-6
204,1,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12690,-231,1,0,0,Sales staff,2,-23
205,1,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21885,1,0,0,0,No,2,-17
206,1,F,N,Y,0,288000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-16181,-117,0,1,1,Private service staff,1,-17
207,1,F,N,N,0,202500.0,State servant,Higher education,Married,With parents,-14562,-1287,0,1,0,Core staff,2,-16
208,1,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,0,0,0,Laborers,1,-27
209,1,F,N,Y,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10707,-765,0,0,0,HR staff,1,-5
210,1,M,Y,Y,2,337500.0,State servant,Secondary / secondary special,Married,Office apartment,-12977,-3970,0,0,0,Laborers,4,-30
211,1,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14776,-2212,0,0,0,Drivers,4,-9
212,0,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-13833,-617,0,0,0,Accountants,3,-19
213,1,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10445,-249,0,0,0,Laborers,2,-10
